order_id,customer_id,restaurant_id,order_date,day_of_week,meal_time,status,items_count,subtotal,tax,delivery_fee,tip,promo_discount,total,payment_method
7315e7fd-f46a-449e-ad1d-6da3418b3a31,63362682-b8a8-4c27-9219-3821bd462c66,a740faea-2d85-43f9-9252-744ced447767,2023-08-25 10:19:47,Sunday,Breakfast,Completed,3,52.7,4.22,0.0,12.07,0.0,68.99000000000001,Debit Card
68adf702-6722-48ed-a324-9e19b6d8228f,384b2045-7dd9-470f-99b1-f161b3699240,42d698de-10eb-434b-b823-cccfb6ab46c8,2023-06-07 11:31:02,Friday,Lunch,Completed,2,23.93,1.91,5.99,1.05,0.0,32.879999999999995,PayPal
04d72c89-3635-400b-91be-cfbc6dad2259,c1c3b3d8-c099-4ab2-8944-90953f8135ef,e65b7ee9-1f6d-4765-9646-e387215680af,2023-06-24 16:09:55,Tuesday,Afternoon,Completed,2,39.54,3.16,0.0,2.03,7.91,36.82000000000001,Cash
95525a57-11cd-497b-9f4c-3facc7fb2816,77a4bc56-3f52-4baf-b2c4-76b70f55cde4,547a2699-78dd-44fe-8b7e-51bd349c71b2,2023-02-14 10:49:56,Friday,Breakfast,Completed,3,60.849999999999994,4.87,6.99,2.93,0.0,75.64,Debit Card
66614cb2-334b-4646-a7f9-7b18b35b63f9,68a85fae-9620-4849-afec-115ba67ad75d,7949e586-fe09-46d3-bc8d-0cc48997ec69,2023-10-09 04:15:09,Friday,Late Night,Completed,4,48.269999999999996,3.86,5.99,0.61,0.0,58.73,Apple Pay
ebc471b7-4ae8-49f8-a1cc-1827577733d1,8badd0e8-547d-4a92-8dbe-60af8402c8bc,07a93621-ccfd-40ac-b6ca-f41c3a784aa9,2023-10-01 21:08:48,Saturday,Dinner,Completed,3,20.6,1.65,0.0,3.95,0.0,26.2,Debit Card
a31aad7c-b458-438c-afc4-025eab244b35,9e8604f1-18f6-4e3b-b48d-c0a4d163cda0,42d698de-10eb-434b-b823-cccfb6ab46c8,2023-09-07 09:29:30,Thursday,Breakfast,Completed,2,33.7,2.7,0.0,3.42,0.0,39.82000000000001,Credit Card
56cbf558-f01a-4b0d-90fb-5b2b023b73a0,5fb758f6-551d-4f9d-b706-91e61ab4c827,9abd0cd4-be34-44bd-9bce-ff2ec59e49e7,2023-11-14 23:13:10,Thursday,Late Night,Completed,2,81.72,6.54,0.0,11.12,0.0,99.38000000000001,PayPal
33735182-2a71-4d17-bdd8-5d9491ab621f,dffb1bfc-2767-40ab-94ec-5f9c38884d3c,9abd0cd4-be34-44bd-9bce-ff2ec59e49e7,2023-08-16 06:43:25,Friday,Breakfast,Completed,3,68.87,5.51,5.99,14.07,0.0,94.44,Credit Card
0322cf00-d1ba-415d-b5cf-f14c47f207b2,1f47fc52-620f-4ddf-8667-2304b9bd8778,bfad0e0f-cb22-4e53-b38e-e310e97462f4,2023-12-15 19:58:36,Tuesday,Dinner,Completed,4,31.43,2.51,0.0,3.18,6.29,30.83,Cash
a57df1c5-2d9a-43ba-8db2-d21b53c1f1fe,d3af4e31-6bd7-4c53-864c-39b653f1c7fe,c381bf47-ffe9-4b70-9f84-6cd190f496e7,2023-07-21 14:34:24,Saturday,Lunch,Completed,2,14.02,1.12,2.99,1.26,0.0,19.390000000000004,Credit Card
